wide_receiver,Receiver_Score,Receiver_Rank,team,offense_composite,offense_rank,defense_composite,defensive_rank,week,opponent_team,opponent_defensive_rank,opponent_defensive_score,adjusted_receiver_score
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.170765317066805
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.8730881619735498
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.4281768170240934
Xavier Weaver,6.309820167093448,220,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0517387981580433
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9684009242332107
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.4693923830285536
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.2334111464482036
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.9848611013449786
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.4693923830285536
Zay Jones,6.491914433344744,330,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0820907891287825
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9048464370291723
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.3729586879875828
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.0868362139214804
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.723341520417451
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.3729586879875828
Greg Dortch,6.065861253861862,121,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0110750316151813
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9854341405667068
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.495237545
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.2726946438789972
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,4.0549508745986405
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.495237545
Tip Reiman,6.606100799956551,394,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.1011236979607402
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9465844713758121
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.436289430675688
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.1830961294254174
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.8950888467081812
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.436289430675688
Clayton Tune,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0577130937985704
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9143048777608856
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.3873103479444455
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.1086500995029662
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.762261942329507
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.3873103479444455
Elijah Higgins,6.1292682440521755,135,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0216438893467161
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,1.0211696291267496
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.5494603911154345
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.3551109618280615
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,4.201998398756291
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.5494603911154345
Kyler Murray,6.845662461000257,492,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.141054517983922
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9663234313599318
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.466240122299136
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.228619850174378
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.976312451367589
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.466240122299136
Emari Demercado,6.477987447494447,325,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0797693994580368
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,1.0412365629187155
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.5799087301522856
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.4013910845380866
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,4.284571578820308
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.5799087301522856
Trey Benson,6.980186100803873,517,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.1634773014395832
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.9465844713758121
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.436289430675688
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,2.1830961294254174
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,3.8950888467081812
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.436289430675688
DeeJay Dallas,6.345662461000257,245,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,1.0577130937985704
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week10,NYJ,1,6.703746631060999,0.6935053302397118
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week14,SEA,19,4.418094518745434,1.0522826076924836
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week15,NE,27,2.9067260829555917,1.5994228174710128
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week13,MIN,30,1.629144471598666,2.8536965887716548
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week12,SEA,19,4.418094518745434,1.0522826076924836
Marvin Harrison Jr.,4.6490840212173135,15,ARI,2.8556658045283125,20,4.382799181497349,20,Week1,BUF,4,5.999417515208258,0.7749225669712254
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.3248949626950945
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.4680620093200687
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.3696605904746584
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.1239135275152978
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.127831376926936
Charlie Woerner,6.634643447899687,411,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.072470897
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.1831177069504186
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.310964421356551
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.2230929565966369
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.0036433324340985
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,1.9001317465392984
Ray-Ray McCloud,5.924669021720147,100,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,3.6366750309788785
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.2505462246974572
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.3856792085935918
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.292799753008915
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.0608432051561163
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.008424494116785
Jase McClellan,6.262329127666924,165,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,3.843937254700163
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.3848329140051034
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.534476806
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.4316237287570408
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.174759123721535
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.2240939917433735
Casey Washington,6.934793231,507,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.256708568263473
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.4103239652064732
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.562722398718746
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.4579760730736542
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.1963832811698547
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.2650335832614736
KhaDarel Hodge,7.062444132279799,529,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.3350631300055795
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,0.8213329581285401
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,0.9100855137815709
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,0.8490842037154944
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,0.6967399289956103
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,1.3190917683429395
Drake London,4.112968562,5,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,2.5246186777519477
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,0.9421884362413684
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.0440005342408099
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,0.974023154
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,0.7992620990920455
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,1.513190233234729
Darnell Mooney,4.718173524095618,17,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,2.896105045530869
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.3251387946201891
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.4683321895199861
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.3699126610069685
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.1241203710815957
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.128222980212873
Ross Dwelley,6.635864478947255,413,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.073220389371322
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.4502396932461723
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.6069513870984984
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.4992404760455462
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.230243947839748
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.329139750880212
Kirk Cousins,7.262329127666924,542,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.457756358796382
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week1,PIT,11,5.007675049502437,1.304659391461323
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week13,LAC,18,4.519320986293021,1.4456397991059395
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week15,LV,13,4.844005510591817,1.3487412985873526
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week11,DEN,5,5.903161840722111,1.1067476140753587
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week10,NO,24,3.1180306484067333,2.095332285
Tyler Allgeier,6.533310282719899,357,ATL,4.774798781728786,7,3.0223941302774477,25,Week14,MIN,30,1.629144471598666,4.010270664521738
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.1335062152237352
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.1528897701519898
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,0.954796123
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.0404586722631133
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.3722777999375377
Rashod Bateman,5.210278933130425,36,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.0720878975444674
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.5074163780742913
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.5331939942635298
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.2697551134454956
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.383675203729934
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.8249516439442675
Lamar Jackson,6.928995794333591,506,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.4257379746036727
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.427481079988767
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.4518917603638586
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.2024225204305865
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.3103016544754162
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.7281780810639766
Diontae Johnson,6.561564902438304,367,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.350133920110522
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.4101340469912866
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.4342480839404907
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.1878104436533679
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.294378609080645
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.7071769185140848
Derrick Henry,6.481827465302814,327,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.333726825129369
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.3623817609554074
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.3856792085935918
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.147586846341636
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.2505462246974572
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.6493656765965716
Josh Johnson,6.262329127666924,165,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.288561967
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.5588056102043435
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.585462009403622
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.3130422511085011
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.430845983662624
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.8871659498393505
Tylan Wallace,7.165211732068093,537,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.4743427136785772
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.4630869201465957
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.4881064791931906
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.2324146966245868
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.3429846734812845
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.771284244347844
Charlie Kolar,6.725230841256405,458,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.383810480329097
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.3751288839512985
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.3986443141249552
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.158324241
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.2622469586584628
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.6647979641882913
Patrick Ricard,6.320922601184318,235,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.3006183947187473
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.3543266591327083
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.3774863602755176
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,1.1408017225513782
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,1.2431523520968244
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.639613778
Nelson Agholor,6.225303016325536,152,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,1.2809433253009694
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week1,KC,16,4.596603761984669,1.0047303058972905
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week12,LAC,18,4.519320986293021,1.0219117247645866
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week13,PHI,8,5.4569544323642685,0.8463231938454282
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week11,PIT,11,5.007675049502437,0.9222537521332126
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week10,CIN,22,3.796810626367039,1.2163754156700035
Zay Flowers,4.618347103867493,12,BAL,5.603180071,2,1.0009372550356157,32,Week15,NYG,12,4.859936340167777,0.9502896294538823
